address,label,tier,weight,twitter
CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,Cented,S,3,Cented7
8cAb93o9zCB13T97dU83i6pV13p4aMxKFEiysQUKY9vs,Euris,S,3,eurisluv
DuQabFqdC9eeBULVa7TTdZYxe8vK8ct5DZr4Xcf7docy,Orangie,S,3,OrangieWTF
suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Cupsey,S,3,Cupseyy
AVAZvHLR2PcWpDf8BXY4rVxNHYRBytycHkcB5z5QNXYm,Ansem,S,3,blknoiz06
73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,Waddles,S,3,waddles_eth
3pZ59YENxDAcjaKa3sahZJBcgER4rGYi4v6BpPurmsGj,Kadenox,S,3,kadenox
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,Frank,S,3,frankdegods
4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,Jijo,S,3,jijo_exe
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,Mitch,S,3,idrawline
9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,Loopier,S,3,loopierr
7LCKYd6j8Vh1ASpaTteWVk3mrHCRG2zBWDFQrjPNZ6eD,Absol,S,3,absolquant
9jCSe7uPUJPGJgQfb98uj6EGXExhZht4NrSbY25oSkhc,Trey,A,2,treydotmp4
87rRdssFiTJKY4MGARa4G5vQ31hmR7MxSmhzeaJ5AAxJ,Dior,A,2,traderdior
CydL8ihQfhVk2tsXVBxKjMkmYkanqfaFg68rj3i95YXg,Leens,A,2,leensx100
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,Gake,A,2,gakevr
8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,Pow,A,2,traderpow
